,PostalCode,Borough,Neighborhood,Latitude,Longitude
81,M6S,West Toronto,"Runnymede, Swansea",43.65034103393555,-79.4757080078125
82,M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan",43.78472900390625,-79.29936981201172
83,M4T,Central Toronto,"Moore Park, Summerhill East",43.69065856933594,-79.38356018066406
84,M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park",43.65351104736328,-79.397216796875
85,M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.81781005859375,-79.28024291992188
86,M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",43.685691833496094,-79.4023208618164
87,M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.64081954956055,-79.3995590209961
88,M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores",43.60987091064453,-79.49693298339844
89,M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",43.744529724121094,-79.58624267578125
90,M1W,Scarborough,"Steeles West, L'Amoreaux West",43.80052185058594,-79.32073974609375
91,M4W,Downtown Toronto,Rosedale,43.68190002441406,-79.37850189208984
92,M5W,Downtown Toronto,Stn A PO Boxes,43.64868927001953,-79.38543701171875
93,M8W,Etobicoke,"Alderwood, Long Branch",43.60108184814453,-79.53890991210938
94,M9W,Etobicoke,"Northwest, West Humber - Clairville",43.71173858642578,-79.57917785644531
95,M1X,Scarborough,Upper Rouge,43.83422088623047,-79.2166976928711
96,M4X,Downtown Toronto,"St. James Town, Cabbagetown",43.66788101196289,-79.36649322509766
97,M5X,Downtown Toronto,"First Canadian Place, Underground city",43.64828109741211,-79.38146209716797
98,M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.653690338134766,-79.51112365722656
99,M4Y,Downtown Toronto,Church and Wellesley,43.66659164428711,-79.38130187988281
100,M7Y,East Toronto,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto",43.64868927001953,-79.38543701171875
101,M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",43.63288116455078,-79.48954772949219
102,M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",43.624629974365234,-79.52835083007812
